,quote,tag,author,author_link
0,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",truth,J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
1,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","death,life",Jimi Hendrix,https://quotes.toscrape.com/author/Jimi-Hendrix
2,“To die will be an awfully big adventure.”,"adventure,love",J.M. Barrie,https://quotes.toscrape.com/author/J-M-Barrie
3,“It takes courage to grow up and become who you really are.”,courage,E.E. Cummings,https://quotes.toscrape.com/author/E-E-Cummings
4,“But better to get hurt by the truth than comforted with a lie.”,life,Khaled Hosseini,https://quotes.toscrape.com/author/Khaled-Hosseini
5,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,better-life-empathy,Harper Lee,https://quotes.toscrape.com/author/Harper-Lee
6,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”","books,children,difficult,grown-ups,write,writers,writing",Madeleine L'Engle,https://quotes.toscrape.com/author/Madeleine-LEngle
7,“Never tell the truth to people who are not worthy of it.”,truth,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain
8,"“A person's a person, no matter how small.”",inspirational,Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss
9,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind",George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin
10,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",truth,J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
11,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","death,life",Jimi Hendrix,https://quotes.toscrape.com/author/Jimi-Hendrix
12,“To die will be an awfully big adventure.”,"adventure,love",J.M. Barrie,https://quotes.toscrape.com/author/J-M-Barrie
13,“It takes courage to grow up and become who you really are.”,courage,E.E. Cummings,https://quotes.toscrape.com/author/E-E-Cummings
14,“But better to get hurt by the truth than comforted with a lie.”,life,Khaled Hosseini,https://quotes.toscrape.com/author/Khaled-Hosseini
15,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,better-life-empathy,Harper Lee,https://quotes.toscrape.com/author/Harper-Lee
