,Índice,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,% Dif. Año
0,IBEX 35®,"9.312,30","0,62%","9.323,50","9.232,60",06/04/2023,17:38:00,"13,16%"
1,IBEX 35® con Dividendos,"30.176,80","0,98%","30.213,10","29.918,60",06/04/2023,17:38:00,"14,60%"
2,IBEX MEDIUM CAP®,"13.710,40","0,14%","13.740,80","13.611,00",06/04/2023,17:38:00,"7,13%"
3,IBEX SMALL CAP®,"8.078,40","0,35%","8.111,80","8.049,30",06/04/2023,17:38:00,"12,43%"
4,IBEX 35® Bancos,"593,40","1,63%","594,50","580,90",06/04/2023,17:38:00,"13,35%"
5,IBEX 35® Energía,"1.494,90","0,59%","1.501,50","1.486,40",06/04/2023,17:38:00,"5,27%"
6,IBEX 35® Construcción,"1.765,10","-0,62%","1.777,80","1.756,30",06/04/2023,17:38:00,"10,07%"
7,IBEX Gender Equality,"9.224,30","0,74%","9.230,70","9.159,20",06/04/2023,17:38:00,"14,98%"
8,IBEX Gender Equality Total Return,"10.674,70","0,88%","10.682,20","10.599,40",06/04/2023,17:38:00,"16,27%"
9,IBEX Gender Equality Net Return,"10.392,60","0,85%","10.399,90","10.319,30",06/04/2023,17:38:00,"16,06%"
10,IBEX TOP Dividendo®,"2.610,90","0,84%","2.614,80","2.585,40",06/04/2023,17:38:00,"3,28%"
11,IBEX 35® con Dividendos Netos,"24.990,90","0,91%","25.021,00","24.777,00",06/04/2023,17:38:00,"14,32%"
12,IBEX 35® Inverso,"1.888,10","-0,97%","1.904,60","1.885,80",06/04/2023,17:38:00,"-12,54%"
13,IBEX 35® Doble Inverso,"166,90","-1,94%","169,80","166,50",06/04/2023,17:38:00,"-24,68%"
14,IBEX 35® Inverso X3,"5.223,60","-2,91%","5.363,10","5.204,00",06/04/2023,17:38:00,"-35,81%"
15,IBEX 35® Inverso X5,"277,90","-4,86%","290,50","276,10",06/04/2023,17:38:00,"-54,58%"
16,IBEX 35® Inverso X10,"421,00","-9,71%","461,20","415,30",06/04/2023,17:38:00,"-83,76%"
17,IBEX 35® Doble Apalancado,"4.273,20","1,24%","4.283,50","4.200,50",06/04/2023,17:38:00,"25,96%"
18,IBEX 35® Doble Apalancado Bruto,"22.508,80","1,95%","22.562,40","22.127,30",06/04/2023,17:38:00,"29,17%"
